sentence,label
I feel tired even after a full night's sleep.,1
I often lack the energy to do things I used to enjoy.,1
It's hard to concentrate on tasks these days.,1
"I feel overwhelmed by small, everyday tasks.",1
I sometimes feel like I’m moving through life in slow motion.,1
I find myself avoiding social interactions more often.,1
I often feel like I’m just going through the motions.,1
It’s been hard to feel truly happy about anything recently.,1
I sometimes feel irritable for no clear reason.,1
I feel like I can’t keep up with everyone else.,1
"I have trouble staying motivated, even for things I care about.",1
"I often feel like I’m failing, even when I’m not.",1
I feel more disconnected from people than I used to.,1
It’s been hard to find meaning in what I do lately.,1
I sometimes feel like I’m letting people down.,1
I struggle to get out of bed some mornings.,1
"I often feel empty, like something is missing.",1
I’ve been feeling more indecisive than usual.,1
I find it difficult to think positively about the future.,1
I don’t feel as confident as I used to.,1
I feel like my emotions are blunted or muted.,1
I get frustrated with myself more easily.,1
I sometimes feel like I’m just watching life go by.,1
"I’ve been feeling more down than usual, but I can’t explain why.",1
It’s hard to find joy in hobbies I used to love.,1
I feel like I’m not as good at things as I used to be.,1
I’ve been second-guessing myself more often.,1
I find myself zoning out or daydreaming more frequently.,1
I feel like I have to force myself to do things I once enjoyed.,1
I sometimes feel like life is just a series of obligations.,1
I often feel like my best isn’t good enough.,1
I struggle to feel excited about things I used to look forward to.,1
It’s been hard to focus on anything for long periods of time.,1
I sometimes feel like I’m just floating through the day.,1
I avoid starting tasks because they feel too overwhelming.,1
I feel like I’m losing interest in things I used to care about.,1
"I find myself feeling frustrated with small, everyday things.",1
I sometimes feel like I don’t know who I am anymore.,1
I feel disconnected from the people closest to me.,1
I find it harder to make decisions than I used to.,1
I feel like I’m constantly falling behind on life.,1
I often feel like nothing I do really matters.,1
I’ve noticed I’ve been more forgetful lately.,1
I feel like I’m stuck in a rut and can’t get out.,1
I often think that I’m not doing enough with my life.,1
I feel like I’m running out of energy faster than before.,1
"I sometimes find myself staring at nothing, lost in thought.",1
I often feel like my life lacks purpose.,1
I find myself procrastinating more than I used to.,1
I often wish I could just take a break from everything.,1
I sometimes feel like I’m on autopilot.,1
I often feel like there’s a heavy weight on my chest.,1
I feel like I’m not as close to my friends as I used to be.,1
I sometimes feel like I’m the only one struggling.,1
I find myself overthinking simple decisions.,1
I often feel like I’m failing to meet my own expectations.,1
I feel like my emotions are harder to control than before.,1
I find it harder to laugh at things that used to be funny.,1
I sometimes feel like I’m invisible to the people around me.,1
I feel like I’m just waiting for something to change.,1
"I feel like I’m always tired, no matter how much rest I get.",1
I sometimes find myself zoning out and losing track of time.,1
I avoid making plans because I don’t have the energy to follow through.,1
I feel like I don’t have the mental energy to deal with challenges.,1
I often replay small mistakes in my mind and feel bad about them.,1
I sometimes feel like I don’t deserve to be happy.,1
I have moments where I feel down for no apparent reason.,1
I feel like my mind is constantly foggy and unclear.,1
I find it difficult to get motivated to do basic tasks.,1
"I sometimes feel like I’m an outsider, even among friends.",1
I don’t feel like celebrating good news as much as I used to.,1
I often think about the things I haven’t accomplished.,1
I feel like I’ve been less creative and inspired lately.,1
I sometimes feel like everything is harder than it should be.,1
I avoid talking about my feelings because I don’t want to burden others.,1
I feel like I’m running on autopilot most of the time.,1
I’ve been sleeping more than usual but still feel exhausted.,1
I feel like I’m less connected to the things that used to make me happy.,1
I sometimes feel like I’m wasting my potential.,1
I’ve been withdrawing from social events more often.,1
I sometimes cry without really knowing why.,1
I feel like I’m not living up to the expectations I set for myself.,1
I often feel overwhelmed even by simple decisions.,1
I have a hard time remembering the last time I felt truly happy.,1
I feel like I’m constantly fighting an uphill battle.,1
I sometimes feel like I don’t belong anywhere.,1
I find myself questioning the purpose of things I do.,1
