global_neuron_idx,local_neuron_idx,sae_idx,sae_config,correlation,p_value,abs_correlation
327,71,1,"(128, 6)",0.3768200142431944,5.172340992321636e-206,0.3768200142431944
423,39,2,"(64, 4)",0.36679574316888164,1.707551699253091e-194,0.36679574316888164
438,54,2,"(64, 4)",0.34268638124895623,1.9798103572121577e-168,0.34268638124895623
302,46,1,"(128, 6)",0.3405656670898894,3.0303568116432006e-166,0.3405656670898894
88,88,0,"(256, 8)",0.33627661204108383,7.050321299951655e-162,0.33627661204108383
429,45,2,"(64, 4)",0.3318980328165495,1.7167512077839296e-157,0.3318980328165495
266,10,1,"(128, 6)",0.32846440688631406,4.21244173407094e-154,0.32846440688631406
55,55,0,"(256, 8)",0.321794738524161,1.2154859143879626e-147,0.321794738524161
440,56,2,"(64, 4)",0.29728169532773735,2.815058833348245e-125,0.29728169532773735
392,8,2,"(64, 4)",-0.2783422539908956,1.9580361476514475e-109,0.2783422539908956
145,145,0,"(256, 8)",0.2719905044666489,2.15156548828645e-104,0.2719905044666489
387,3,2,"(64, 4)",0.26182876238585673,1.3149500158147704e-96,0.26182876238585673
279,23,1,"(128, 6)",0.24660697750568938,1.4190717164941923e-85,0.24660697750568938
309,53,1,"(128, 6)",0.24291520551549722,5.196972525824391e-83,0.24291520551549722
399,15,2,"(64, 4)",0.24277006309220395,6.541220738270018e-83,0.24277006309220395
402,18,2,"(64, 4)",-0.2417617923429397,3.219988978611601e-82,0.2417617923429397
239,239,0,"(256, 8)",0.23852063238290516,5.142419261137146e-80,0.23852063238290516
338,82,1,"(128, 6)",0.2382201984025214,8.19822146492782e-80,0.2382201984025214
47,47,0,"(256, 8)",0.23725084047733497,3.675529414082867e-79,0.23725084047733497
200,200,0,"(256, 8)",0.2308748078235335,5.994524211543529e-75,0.2308748078235335
348,92,1,"(128, 6)",0.22594097706450333,8.918617354566517e-72,0.22594097706450333
411,27,2,"(64, 4)",-0.22568500000844488,1.2966829490296423e-71,0.22568500000844488
383,127,1,"(128, 6)",0.2225615527245979,1.2016948262685747e-69,0.2225615527245979
396,12,2,"(64, 4)",-0.21798788299618316,8.050060794676156e-67,0.21798788299618316
13,13,0,"(256, 8)",0.2175363329166777,1.5181818297648365e-66,0.2175363329166777
444,60,2,"(64, 4)",-0.21651809126419602,6.314507679377284e-66,0.21651809126419602
44,44,0,"(256, 8)",0.2162546987051293,9.118986694315155e-66,0.2162546987051293
388,4,2,"(64, 4)",-0.2121227076273245,2.729569414548479e-63,0.2121227076273245
433,49,2,"(64, 4)",-0.21208668722497492,2.867155747980804e-63,0.21208668722497492
286,30,1,"(128, 6)",-0.1993836896884567,5.556060090600525e-56,0.1993836896884567
182,182,0,"(256, 8)",0.1960401819432209,3.8222692715255665e-54,0.1960401819432209
313,57,1,"(128, 6)",-0.19439888204171432,2.966023418610105e-53,0.19439888204171432
367,111,1,"(128, 6)",0.19065832762405208,2.953170912566234e-51,0.19065832762405208
408,24,2,"(64, 4)",-0.18907232177881567,2.0183263454712118e-50,0.18907232177881567
183,183,0,"(256, 8)",0.18850862122658887,3.979911745877596e-50,0.18850862122658887
